Beholder Zombie; Large undead; neutral evil; 15; natural armor; 93; 11d10+33; 0 ft., fly 20 ft. (hover); 10; 8; 16; 3; 8; 5; Wis +2; ; ; poison; poisoned; Darkvision 60 ft., PP 9; understands Deep Speech and Undercommon but can't speak; 5; 1800; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (4d6) piercing damage.<br><br><i><b>Eye Ray:</b></i> The zombie uses a random magical eye ray, choosing a target that it can see within 60 feet of it.<br><br><i>1. Paralyzing Ray:</i> The targeted creature must succeed on a DC 14 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>2. Fear Ray:</i> The targeted creature must succeed on a DC 14 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>3. Enervation Ray:</i> The targeted creature must make a DC 14 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.<br><i>4. Disintegration Ray:</i> If the target is a creature, it must succeed on a DC 14 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.<br>If the target is a Large or smaller non magical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger non magical object or creation of magical force, this ray disintegrates a 10-foot cube of it.; ; <i><b>Undead Fortitude:</b></i> If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.
Flumph; small aberration; lawful good; 12; ; 7; 2d6; 5 ft., fly 30 ft.; 6; 15; 10; 14; 14; 11; ; Arcana +4, History +4, Religion +4; ; ; ; Darkvision 60 ft., PP 12; understands Undercommon but can't speak, Telepathy 60 ft.; 1/8; 25; ; <i><b>Tendrils:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one creature. <i>Hit:</i> 4 (1d4+2) piercing damage plus 2 (1d4) acid damage. At the end of each of its turns, the target must make a DC 10 Constitution saving throw, taking 2 (1d4) acid damage on a failure or ending the recurring acid damage on a success. A lesser restoration spell cast on the target also ends the recurring acid damage.<br><br><i><b>Stench Spray (1/Day):</b></i> Each creature in a 15-foot cone originating from the flumph must succeed on a DC 10 Dexterity saving throw or be coated in a foul-smelling liquid. A coated creature exudes a horrible stench for 1d4 hours. The coated creature is poisoned as long as the stench lasts, and other creatures are poisoned while within 5 feet of the coated <br>creature. A creature can remove the stench on itself by using a short rest to bathe in water, alcohol, or vinegar.; ; <i><b>Advanced Telepathy:</b></i> The flumph can perceive the content of any telepathic communication used within 60 feet of it, and it can't be surprised by creatures with any form of telepathy.<br><br><i><b>Prone Deficiency:</b></i> If the flumph is knocked prone, roll a die. On an odd result, the flumph lands upside-down and is incapacitated. At the end of each of its turns, the flumph can make a DC 10 Dexterity saving throw, righting itself and ending the incapacitated condition if it succeeds.<br><br><i><b>Telepathic Shroud:</b></i> The flumph is immune to any effect that would sense its emotions or read its thoughts, as well as all divination spells.
Flameskull; Tiny undead; neutral evil; 13; ; 40; 9d4+18; 0 ft., fly 40 ft.; 1; 17; 14; 16; 10; 11; ; Arcana +5, Perception +2; lightning, necrotic, piercing; cold, fire, poison; charmed, frightened, paralyzed, poisoned; Darkvision 60 ft., PP 12; Common; 4; 1100; ; <i><b>Multiattack:</b></i> The flameskull makes two attacks with its Fire Ray.<br><br><i><b>Fire Ray:</b> Ranged Spell Attack:</i> +5 to hit, range 30 ft., one target. <i>Hit:</i> 10 (3d6) fire damage.<br><br><h1>Features cont.</h1><p><i><b>Spellcasting:</b></i> The flameskull is a 5th-level spellcaster that uses Intelligence as its spellcasting ability (spell save DC 13, +5 to hit with spell attacks). The flameskull knows the following spells from the wizard's spell list:<br><br>Cantrips (at will): <i>mage hand</i><br>1st Level (3 slots): <i>magic missile, shield</i><br>2nd Level (2 slots): <i>blur, flaming sphere</i><br>3rd level (1 slot): <i>fireball</i></p>; ; <b><i>Illumination:</i></b> The flameskull sheds either dim light in a 15-foot radius, or a bright light in a 15-foot radius and dim light for an additional 15 feet. It can switch between the options as an action.<br><br><b><i>Magic Resistance:</i></b> The flameskull has advantage on saving throws against spells and other magical effects.<br><br><b><i>Rejuvenation:</i></b> The the flameskull is destroyed, it regains all its hit points in 1 hour unless holy water is sprikled on its remains or a <i>dispel magic</i> or <i>remove curse</i> spell is cast on them.
Faerie Dragon; Tiny dragon; chaotic good; 15; ; 14; 4d4+4; 10 ft., fly 60 ft.; 3; 20; 13; 14; 12; 16; ; Arcana +4, Perception +3, Stealth +7; ; ; ; Darkvision 60 ft., PP 13; Draconic, Sylvan; 1 and 2; 200 and 450; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one creature. <i>Hit:</i> 1 piercing damage.<br><br><i><b>Euphoria Breath (Recharge 5-6):</b></i> The dragon exhales a puff of euphoria gas at one creature within 5 feet of it. The target must succeed on a DC 11 Wisdom saving throw, or for 1 minute, the target can't take reactions and must roll a d6 at the start of each of its turns to determine its behavior during the turn:<br><i><b>1-4:</b></i> The target takes no action or bonus action and uses all of its movement to move in a random direction.<br><i><b>5-6:</b></i> The target doesn't move, and the only thing it can do on its turn is make a DC 11 Wisdom saving throw, ending the effect on itself on a success.<br><br><h1>Features cont.</h1><p><i><b>Innate Spellcasting:</b></i> The dragon's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast a number of spells, requiring no material components. As the dragon ages and changes color, it gains additional spells as shown below.<br><br>Red, 1/day each: <i>dancing lights, mage hand, minor illusion</i><br>Orange, 1/day: <i>color spray</i><br>Yellow, 1/day: <i>mirror image</i><br>Green, 1/day: <i>suggestion</i><br>Blue, 1/day: <i>major image</i><br>Indigo, 1/day: <i>hallucinatory terrain</i><br>Violet, 1/day: <i>polymorph</i></p>; ; <i><b>Ascending CR:</b></i> red, orange and yellow are CR1, green, blue, indigo and violet are CR2<br><br><i><b>Superior Invisibility:</b></i> As a bonus action, the dragon can magically turn invisible until its concentration ends (as if concentrating on a spell). Any equipment the dragon wears or carries is invisible with it.<br><br><i><b>Limited Telepathy:</b></i> Using telepathy, the dragon can magically communicate with any other faerie dragon within 60 feet of it.<br><br><i><b>Magic Resistance:</b></i> The dragon has advantage on saving throws against spells and other magical effects.
Ettin; Large giant; chaotic evil; 12; natural armor; 85; 10d10+30; 40 ft.; 21; 8; 17; 6; 10; 8; ; Perception +4; ; ; ; Darkvision 60 ft., PP 14; Giant, Orc; 4; 1100; ; <i><b>Multiattack:</b></i> The ettin makes two attacks: one with its battleaxe and one with its morningstar.<br><br><i><b>Battleaxe:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (2d8+5) slashing damage.<br><br><i><b>Morningstar:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (2d8+5) piercing damage.; ; <i><b>Two Heads:</b></i> The ettin has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious.<br><br><i><b>Wakeful:</b></i> When one of the ettin's heads is asleep, its other head is awake.
Ettercap; Medium monstrosity; neutral evil; 13; natural armor; 44; 8d8+8; 30 ft., climb 30 ft.; 14; 15; 13; 7; 12; 8; ; Perception +3, Stealth +4, Survival +3; ; ; ; Darkvision 60 ft., PP 13; ---; 2; 450; ; <i><b>Multiattack:</b></i> The ettercap makes two attacks: one with its bite and one with its claws.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one creature. <i>Hit:</i> 6 (1d8+2) piercing damage plus 4 (1d8) poison damage. The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (2d4+2) slashing damage.<br><br><i><b>Web (Recharge 5-6):</b> Ranged Weapon Attack:</i> +4 to hit, range 30/60 ft., one Large or smaller creature. <i>Hit:</i> The creature is restrained by webbing. As an action, the restrained creature can make a DC 11 Strength check, escaping from the webbing on a success. The effect ends if the webbing is destroyed. The webbing has AC 10, 5 hit points, resistance to bludgeoning damage, and immunity to poison and psychic damage.; ; <i><b>Spider Climb:</b></i> The ettercap can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br><br><i><b>Web Sense:</b></i> While in contact with a web, the ettercap knows the exact location of any other creature in contact with the same web.<br><br><i><b>Web Walker:</b></i> The ettercap ignores movement restrictions caused by webbing.
Empyrean; Huge celestial (titan); chaotic good (75%) or neutral evil (25%); 22; natural armor; 313; 19d12+190; 50 ft., fly 50 ft., swim 50 ft.; 30; 21; 30; 21; 22; 27; Str +17, Int +12, Wis +13, Cha +15; Insight +13, Persuasion +15; ; bludgeoning, piercing, and slashing from nonmagical weapons; ; Truesight 120 ft., PP 16; all; 23; 32500; ; <i><b>Maul:</b> Melee Weapon Attack:</i> +17 to hit, reach 10 ft., one target. <i>Hit:</i> 31 (6d6+10) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Constitution saving throw or be stunned until the end of the empyrean's next turn.<br><br><i><b>Bolt:</b> Ranged Spell Attack:</i> +15 to hit, range 600 ft., one target. <i>Hit:</i> 24 (7d6) damage of one of the following types (empyrean's choice): acid, cold, fire, force, lightning, radiant, or thunder.<br><br>; The empyrean can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The empyrean regains spent legendary actions at the start of its turn.<br><br><i><b>Attack:</b></i> The empyrean makes one attack.<br><i><b>Bolster:</b></i> The empyrean bolsters all non hostile creatures within 120 feet of it until the end of its next turn. Bolstered creatures can't be charmed or frightened, and they gain advantage on ability checks and saving throws until the end of the empyrean's next turn.<br><i><b>Trembling Strike (Costs 2 Actions):</b></i> The empyrean strikes the ground with its maul, triggering an earth tremor. All other creatures on the ground within 60 feet of the empyrean must succeed on a DC 25 Strength saving throw or be knocked prone.; <i><b>Innate Spellcasting:</b></i> The empyrean's innate spellcasting ability is Charisma (spell save DC 23, +15 to hit with spell attacks). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>greater restoration, pass without trace, water breathing, water walk</i><br>1/day each: <i>commune, dispel evil and good, earthquake, fire storm, plane shift (self only)</i><br><br><i><b>Legendary Resistance (3/Day):</b></i> If the empyrean fails a saving throw, it can choose to succeed instead.<br><br><i><b>Magic Resistance:</b></i> The empyrean has advantage on saving throws against spells and other magical effects.<br><br><i><b>Magic Weapon:</b></i> The empyrean's weapon attacks are magical.
Drow Priestess of Lolth; Medium humanoid (elf); neutral evil; 16; scale armor; 71; 13d8+13; 30 ft.; 10; 14; 12; 13; 17; 18; Con +4, Wis +6, Cha +7; Insight +6, Perception +6, Religion +46, Deception +5, Perception +4, Stealth +5; ; ; ; Darkvision 120 ft., PP 16; Elvish, Undercommon; 8; 3900; ; <i><b>Multiattack:</b></i> The drow makes two scourge attacks.<br><br><i><b>Scourge:</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d6+2) piercing damage plus 17 (5d6) poison damage.<br><br><i><b>Summon Demon (1/Day):</b></i> The drow magically summons a yochlos with a 30 percent chance of success. If the attempt fails, the drow takes 5 (1d10) psychic damage. Otherwise, the summoned demon appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can't summon other demons. It remains for 10 minutes, until it or its summoner dies, or until its summoner dismisses it as an action.<br><br><h1>Features cont.</h1><p><i><b>Spellcasting:</b></i> The drow is a 10th-level spellcaster. Her spellcasting ability is Wisdom (spell save DC 14, +6 to hit with spell attacks). The drow has the following wizard spells prepared:<br><br>Cantrips (at will): <i>guidance, poison spray, resistance, spare the dying, thaumaturgy</i><br>lst level (4 slots): <i>animal friendship, cure wounds, detect poison</i><br>2nd level (3 slots): <i>lesser restoration, protection from poison, web</i><br>3rd level (3 slots): <i>conjure animals (2 giant spiders), dispel magic</i><br>4th level (3 slots): <i>divination, freedom of movement</i><br>5th level (2 slots): <i>insect plague, mass cure wounds</i></p>; ; <i><b>Fey Ancestry:</b></i> The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.<br><br><i><b>Innate Spellcasting:</b></i> The drow's innate spellcasting ability is Charisma (spell save DC 15). She can innately cast the following spells, requiring no material components:<br><br>At will: <i>dancing lights</i><br>1/day each: <i>darkness, faerie fire, levitate (self only)</i><br><br><i><b>Sunlight Sensitivity:</b></i> While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Drow Mage; Medium humanoid (elf); neutral evil; 12; 15 with mage armor; 45; 10d8; 30 ft.; 9; 14; 10; 17; 13; 12; ; Arcana +6, Deception +5, Perception +4, Stealth +5; ; ; ; Darkvision 120 ft., PP 14; Elvish, Undercommon; 7; 2900; ; <i><b>Staff:</b> Melee Weapon Attack:</i> +2 to hit, reach 5 ft., one target. <i>Hit:</i> 2 (1d6-1) bludgeoning damage, or 3 (1d8-1) bludgeoning damage if used with two hands, plus 3 (1d6) poison damage.<br><br><i><b>Summon Demon (1/Day):</b></i> The drow magically summons a quasit, or attempts to summon a shadow demon with a 50 percent chance of success. The summoned demon appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can't summon other demons. It remains for 10 minutes, until it or its summoner dies, or until its summoner dismisses it as an action.<br><br><h1>Features cont.</h1><p><i><b>Spellcasting:</b></i> The drow is a 10th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The drow has the following wizard spells prepared:<br><br>Cantrips (at will): <i>mage hand, minor illusion, poison spray, ray of frost</i><br>lst level (4 slots): <i>mage armor, magic missile, shield, witch bolt</i><br>2nd level (3 slots): <i>alter self, misty step, web</i><br>3rd level (3 slots): <i>fly, lightning bolt</i><br>4th level (3 slots): <i>Evard's black tentacles, greater invisibility</i><br>5th level (2 slots): <i>cloudkill</i></p>; ; <i><b>Fey Ancestry:</b></i> The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.<br><br><i><b>Innate Spellcasting:</b></i> The drow's innate spellcasting ability is Charisma (spell save DC 12). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>dancing lights</i><br>1/day each: <i>darkness, faerie fire, levitate (self only)</i><br><br><i><b>Sunlight Sensitivity:</b></i> While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Drow Elite Warrior; Medium humanoid (elf); neutral evil; 18; studded leather, shield; 71; 11d8+22; 30 ft.; 13; 18; 14; 11; 13; 12; Dex +7, Con +5, Wis +4; Perception +4, Stealth +10; ; ; ; Darkvision 120 ft., PP 14; Elvish, Undercommon; 5; 1800; ; <i><b>Multiattack:</b></i> The drow makes two shortsword attacks.<br><br><i><b>Shortsword:</b> Melee Weapon Attack:</i> +7 to hit, reach 10 ft., one target. <i>Hit:</i> 7 (1d6+4) piercing damage plus 10 (3d6) poison damage.<br><br><i><b>Hand Crossbow:</b> Ranged Weapon Attack:</i> +7 to hit, range 30/120 ft., one target. <i>Hit:</i> 7 (1d6+4) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 1 hour. If the saving throw fails by 5 or more, the target is also unconscious while poisoned in this way. The target wakes up if it takes damage or if another creature takes an action to shake it awake.<br><br><h1>Reactions</h1><p><i><b>Parry:</b></i> The drow adds 3 to its AC against one melee attack that would hit it. To do so, the drow must see the attacker and be wielding a melee weapon.</p>; ; <i><b>Fey Ancestry:</b></i> The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.<br><br><i><b>Innate Spellcasting:</b></i> The drow's spellcasting ability is Charisma (spell save DC 12). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>dancing lights</i><br>1/day each: <i>darkness, faerie fire, levitate (self only)</i><br><br><i><b>Sunlight Sensitivity:</b></i> While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Drow; Medium humanoid (elf); neutral evil; 15; chain shirt; 13; 3d8; 30 ft.; 10; 14; 10; 11; 11; 12; ; Perception +2, Stealth +4; ; ; ; Darkvision 120 ft., PP 12; Elvish, Undercommon; 1/4; 50; ; <i><b>Shortsword:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d6+2) piercing damage.<br><br><i><b>Hand Crossbow:</b> Ranged Weapon Attack:</i> +4 to hit, range 30/120 ft., one target. <i>Hit:</i> 5 (1d6+2) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 1 hour. If the saving throw fails by 5 or more, the target is also unconscious while poisoned in this way. The target wakes up if it takes damage or if another creature takes an action to shake it awake.; ; <i><b>Fey Ancestry:</b></i> The drow has advantage on saving throws against being charmed, and magic can't put the drow to sleep.<br><br><i><b>Innate Spellcasting:</b></i> The drow's spellcasting ability is Charisma (spell save DC 11). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>dancing lights</i><br>1/day each: <i>darkness, faerie fire</i><br><br><i><b>Sunlight Sensitivity:</b></i> While in sunlight, the drow has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Water Elemental; Large elemental; neutral; 14; natural armor; 114; 12d10+48; 30 ft., swim 90 ft.; 18; 14; 18; 5; 10; 8; ; ; acid, bludgeoning, piercing and slashing from nonmagical weapons; poison; exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious; ; Aquan; 5; 1800; ; <i><b>Multiattack:</b></i> The elemental makes two slam attacks.<br><br><i><b>Slam:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (2d8+4) bludgeoning damage.<br><br><i><b>Whelm (Recharge 4-6):</b></i> Each creature in the elemental's space must make a DC 15 Strength saving throw. On a failure, a target takes 13 (2d8+4) bludgeoning damage. If it is Large or smaller, it is also grappled (escape DC 14). Until this grapple ends, the target is restrained and unable to breathe unless it can breathe water. If the saving throw is successful, the target is pushed out of the elemental's space.<br>The elemental can grapple one Large creature or up to two Medium or smaller creatures at one time. At the start of each of the elemental's turns, each target grappled by it takes 13 (2d8+4) bludgeoning damage. A creature within 5 feet of the elemental can pull a creature or object out of it by taking an action to make a DC 14 Strength and succeeding.; ; <i><b>Water Form:</b></i> The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.<br><br><i><b>Freeze:</b></i> If the elemental takes cold damage, it partially freezes, its speed is reduced by 20 feet until the end of its next turn.
